2024-06-23 18:06:601 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoAProxy element for: DefaultElementLocator 'By.xpath: //select[@id='input-sort']'
2024-06-23 19:06:138 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 19:06:536 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoAProxy element for: DefaultElementLocator 'By.xpath: //select[@id='input-sort']'
2024-06-23 19:06:765 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 19:06:959 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 19:06:388 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 19:06:889 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (31f803b8222a7e97d28cec39bf7c098c)] -> xpath: //select[@id='input-sort']]
2024-06-23 19:06:729 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 19:06:116 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoAProxy element for: DefaultElementLocator 'By.xpath: //select[@id='input-sort']'
2024-06-23 22:06:453 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:898 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (41311f90270cc80634a360cb42479d76)] -> link text: Desktops]
2024-06-23 22:06:363 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (41311f90270cc80634a360cb42479d76)] -> xpath: //select[@id='input-sort']]
2024-06-23 22:06:673 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:185 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:557 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (fa6fe9d7b1f6c76aba4ce0614b378771)] -> link text: Desktops]
2024-06-23 22:06:900 INFO  TopMenuPage :65 - get text desktops [[ChromeDriver: chrome on windows (fa6fe9d7b1f6c76aba4ce0614b378771)] -> link text: Desktops]
2024-06-23 22:06:934 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:351 INFO  TopMenuPage :71 - mouseHoverOnLaptopsAndNotebooksTab[[ChromeDriver: chrome on windows (1c94a25c3ed902d8b8ae69335e8b1c6f)] -> link text: Laptops & Notebooks]
2024-06-23 22:06:477 INFO  TopMenuPage :75 - getLaptopsAndNotebooksText[[ChromeDriver: chrome on windows (1c94a25c3ed902d8b8ae69335e8b1c6f)] -> css selector: body:nth-child(2) div.container:nth-child(4) div.row div.col-sm-9 > h2:nth-child(1)]
2024-06-23 22:06:83 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:203 INFO  TopMenuPage :80 - mouseHoverToComponentsTab[[ChromeDriver: chrome on windows (5f4dce8afabf8f4fe45c5a46de4123d6)] -> link text: Components]
2024-06-23 22:06:543 INFO  TopMenuPage :86 - getComponentsText[[ChromeDriver: chrome on windows (5f4dce8afabf8f4fe45c5a46de4123d6)] -> xpath: //h2[contains(text(),'Components')]]
2024-06-23 22:06:42 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:688 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:608 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:140 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:748 INFO  MyAccountsPage :105 - click On MyAccount Link [[ChromeDriver: chrome on windows (a7d552e5cb8cf1f0fcbc755c52293f1a)] -> xpath: //span[contains(text(),'My Account')]]
2024-06-23 22:06:45 INFO  MyAccountsPage :110 - getRegisterAccountMessage[[ChromeDriver: chrome on windows (a7d552e5cb8cf1f0fcbc755c52293f1a)] -> xpath: //h1[contains(text(),'Register Account')]]
2024-06-23 22:06:657 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:703 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (2faca2df9811b4ef4142b891ef39e265)] -> link text: Desktops]
2024-06-23 22:06:667 INFO  TopMenuPage :65 - get text desktops [[ChromeDriver: chrome on windows (2faca2df9811b4ef4142b891ef39e265)] -> link text: Desktops]
2024-06-23 22:06:774 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:787 INFO  TopMenuPage :71 - mouseHoverOnLaptopsAndNotebooksTab[[ChromeDriver: chrome on windows (3748d85c9354e372964b00e7a8b61007)] -> link text: Laptops & Notebooks]
2024-06-23 22:06:746 INFO  TopMenuPage :75 - getLaptopsAndNotebooksText[[ChromeDriver: chrome on windows (3748d85c9354e372964b00e7a8b61007)] -> css selector: body:nth-child(2) div.container:nth-child(4) div.row div.col-sm-9 > h2:nth-child(1)]
2024-06-23 22:06:790 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:396 INFO  TopMenuPage :80 - mouseHoverToComponentsTab[[ChromeDriver: chrome on windows (c99744ddca322591d3af8c576ca0b99d)] -> link text: Components]
2024-06-23 22:06:444 INFO  TopMenuPage :86 - getComponentsText[[ChromeDriver: chrome on windows (c99744ddca322591d3af8c576ca0b99d)] -> xpath: //h2[contains(text(),'Components')]]
2024-06-23 22:06:261 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:120 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (cee547d9bb8a8b39fa1edd8dc99f7ffe)] -> xpath: //select[@id='input-sort']]
2024-06-23 22:06:416 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:684 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:496 INFO  MyAccountsPage :105 - click On MyAccount Link [[ChromeDriver: chrome on windows (916a5312bbedd1d7af830d574421899d)] -> xpath: //span[contains(text(),'My Account')]]
2024-06-23 22:06:337 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 22:06:338 INFO  TopMenuPage :71 - mouseHoverOnLaptopsAndNotebooksTab[[ChromeDriver: chrome on windows (1e8144bcbb19014f22f2ae3e81a164c2)] -> link text: Laptops & Notebooks]
2024-06-23 22:06:428 INFO  TopMenuPage :75 - getLaptopsAndNotebooksText[[ChromeDriver: chrome on windows (1e8144bcbb19014f22f2ae3e81a164c2)] -> css selector: body:nth-child(2) div.container:nth-child(4) div.row div.col-sm-9 > h2:nth-child(1)]
2024-06-23 23:06:219 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 23:06:821 INFO  MyAccountsPage :105 - click On MyAccount Link [[ChromeDriver: chrome on windows (3c99b71b8e6df19570932ca52b701073)] -> xpath: //span[contains(text(),'My Account')]]
2024-06-23 23:06:435 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 23:06:507 INFO  MyAccountsPage :105 - click On MyAccount Link [[ChromeDriver: chrome on windows (eb806b33b8fb0bb15c4d97175a8897ac)] -> xpath: //span[contains(text(),'My Account')]]
2024-06-23 23:06:420 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 23:06:172 INFO  MyAccountsPage :105 - click On MyAccount Link [[ChromeDriver: chrome on windows (8e9a579078282d2518be09ea4a65c0b5)] -> xpath: //span[contains(text(),'My Account')]]
2024-06-23 23:06:839 INFO  MyAccountsPage :193 - getAccountLogoutMessage[[ChromeDriver: chrome on windows (8e9a579078282d2518be09ea4a65c0b5)] -> xpath: //h1[contains(text(),'Account Logout')]]
2024-06-23 23:06:31 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 23:06:64 INFO  MyAccountsPage :105 - click On MyAccount Link [[ChromeDriver: chrome on windows (96613c99f1df68ede06d7203734b204c)] -> xpath: //span[contains(text(),'My Account')]]
2024-06-23 23:06:470 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 23:06:355 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (983e121ae1cc61eefd01c6096ba199d0)] -> link text: Desktops]
2024-06-23 23:06:732 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (983e121ae1cc61eefd01c6096ba199d0)] -> xpath: //select[@id='input-sort']]
2024-06-23 23:06:834 INFO  ManageBrowser :32 - Chrome Browser Launch.....
